text1, text2,  similarity
зелені зі картопляні смаком сметани та,зі картопляні крабу муп смаком,0.381901
зелені зі картопляні смаком сметани та,зі картопляні паприки смаком,0.441700
зелені зі картопляні смаком сметани та,зі картопляні сиру смаком,0.406332
зі картопляні краба смаком,зелені зі картопляні муп смаком сметани і,0.382900
зі картопляні краба смаком,зелені зі картопляні смаком сметани та,0.393401
зі картопляні сиру смаком,зелені зі картопляні муп смаком сметани і,0.352292
max зі рифлені смаком сметани та цибулі,max strong зі лайму смаком та чилі,0.446568
baked oven зі лисичок смаком сметані у,baked запечені зі картопляні лисичок муп смаком сметані у,0.324310
baked oven зі лисичок смаком сметані у,baked oven з зі йогурту смаком травами,0.332606
baked oven зі лисичок смаком сметані у,baked з запечені зі йогурту картопляні муп смаком травами,0.396000
бекону зі картопляні смаком,зелені зі картопляні муп смаком сметани та,0.419617
бекону зі картопляні смаком,зі картопляні крабу муп смаком,0.486648
зі картопляні крабу смаком,зеленню картопляні смак сметани із,0.446838
зі картопляні сиру смаком,зеленню картопляні смак сметани із,0.474746
зі сиру смаком,зі картопляні сиру смаком чіпси,0.339106
зі кукурудзяні сиру смаком,барбекю зі кукурудзяні смаком,0.415999
зі кукурудзяні смаком сметани,барбекю зі кукурудзяні смаком,0.374058
зі кукурудзяні смаком сметани,зі кукурудзяні сиру смаком,0.462275
зі краба кукурудзяні смаком снеки,зі кукурудзяні сиру смаком снеки,0.453228
з зі коричневого рису смаком хумусу,з з коричневого паприкою рису,0.484151
favore грибів зі смаком,favore зелені зі смаком сметани та,0.371439
лавка нутові оригінальні традицій хлібці,вяленими з лавка нутові томатами традицій хлібці,0.401491
з кмином лавка нутові традицій хлібці,вяленими з лавка нутові томатами традицій хлібці,0.417467
з кмином лавка нутові традицій хлібці,лавка нутові оригінальні традицій хлібці,0.342645
mood snack вироби зі сиру смаком снек фігурні,mood snack барб крикурячих пшенкарт смак снек,0.433839
mood snack бекону зі пшеничні смаком снек,mood snack барб крикурячих пшенкарт смак снек,0.305479
mood snack бекону зі пшеничні смаком снек,mood snack вироби зі сиру смаком снек фігурні,0.371505
з зеленню зі картопляні смаком сметани,зі картопляні крабу смаком,0.462503
baked oven гриль зі овочів смаком,baked oven з зі йогурту смаком травами,0.385753
baked oven гриль зі овочів смаком,baked oven зі лисичок смаком сметані у,0.488026
baked oven гриль зі овочів смаком,baked з запечені зі йогурту картопляні муп смаком травами,0.396000
baked oven гриль зі овочів смаком,baked запечені зі картопляні лисичок муп смаком сметані у,0.360000
max зі лобстера рифлені смаком,max зі рифлені смаком сметани та цибулі,0.317019
max зі лобстера рифлені смаком,max strong зі лайму смаком та чилі,0.368618
зеленої зі картопляні смаком цибулі,зелені зі картопляні муп смаком сметани та,0.380697
зеленої зі картопляні смаком цибулі,зі картопляні крабу муп смаком,0.367802
зеленої зі картопляні смаком цибулі,зі картопляні паприки смаком,0.391519
зеленої зі картопляні смаком цибулі,зі картопляні сиру смаком,0.463199
max strong зі лайму смаком та чилі,deepcut max зі сальси смаком,0.432000
max strong зі лайму смаком та чилі,max зі рифлені смаком сметанацибуля,0.470995
max strong зі лайму смаком та чилі,max зі королівський рифлені сир смаком,0.396000
бекону зі картопляні смаком,зелені зі картопляні муп смаком сметани і,0.344713
бекону зі картопляні смаком,зелені зі картопляні смаком сметани та,0.426892
бекону зі картопляні смаком,зі картопляні краба смаком,0.403899
білих грибів зі зі картопляні смаком сметаною,зелені зі картопляні муп смаком сметани та,0.461208
білих грибів зі зі картопляні смаком сметаною,зі картопляні крабу муп смаком,0.482401
білих грибів зі зі картопляні смаком сметаною,зі картопляні паприки смаком,0.349548
білих грибів зі зі картопляні смаком сметаною,зі картопляні сиру смаком,0.405097
paysanne зі сиру смаком,paysanne зі нормандської оцту сидрового смаком солі та,0.414708
paysanne зі сиру смаком,зі картопляні сиру смаком,0.417268
paysanne зі карамелізованої смаком цибулі,paysanne зі нормандської оцту сидрового смаком солі та,0.340113
paysanne зі карамелізованої смаком цибулі,paysanne зі сиру смаком,0.329257
paysanne зі карамелізованої смаком цибулі,зеленої зі картопляні смаком цибулі,0.338809
paysanne гірчиці діжонської зі курки меду смаком та,paysanne зі нормандської оцту сидрового смаком солі та,0.481770
paysanne гірчиці діжонської зі курки меду смаком та,paysanne зі сиру смаком,0.413276
paysanne гірчиці діжонської зі курки меду смаком та,paysanne зі карамелізованої смаком цибулі,0.476801
з картопляні сіллю,зелені зі картопляні муп смаком сметани і,0.423000
з картопляні сіллю,зелені зі картопляні смаком сметани та,0.456520
з картопляні сіллю,зі картопляні краба смаком,0.372126
з картопляні сіллю,барбекю зі картопляні смаком,0.337457
зі картопляні лобстера рифлені смаком,зелені зі картопляні муп смаком сметани та,0.441000
зі картопляні лобстера рифлені смаком,зі картопляні крабу муп смаком,0.313439
зі картопляні лобстера рифлені смаком,зі картопляні паприки смаком,0.488757
зі картопляні лобстера рифлені смаком,зі картопляні сиру смаком,0.324379
зі картопляні рифлені смаком сметани та цибулі,зеленої зі картопляні смаком цибулі,0.304988
зі картопляні рифлені смаком сметани та цибулі,paysanne зі карамелізованої смаком цибулі,0.330282
зі картопляні рифлені смаком сметани та цибулі,зі картопляні лобстера рифлені смаком,0.466599
зі картопляні рифлені смаком сметани та цибулі,зелені зі картопляні муп смаком сметани та,0.402120
гострим з картопляні смаком шалено,з зі картопляні макарони сиром смаком,0.470685
гострим з картопляні смаком шалено,зі картопляні ковбаски смаком та цибулька чорізо,0.413863
гострим з картопляні смаком шалено,з запечені зі карамеллю картопляні смаком яблучка,0.452018
berry goji безалкогольний газований зб,black cherry безалкогольний газований зб,0.442728
energy безаолкогольни виноград зб,energy безаолкогольни вишня зб,0.415713
unicorn безалкогольний зб сильногазований,mix безалкогольний зб сильногазований,0.397167
juiced lemonade peach безалкогольний зб,mix безалкогольний зб сильногазований,0.406970
juiced lemonade peach безалкогольний зб,unicorn безалкогольний зб сильногазований,0.303659
cola taste безалкогольний зб сильногазований,mix безалкогольний зб сильногазований,0.363759
cola taste безалкогольний зб сильногазований,unicorn безалкогольний зб сильногазований,0.392503
cola taste безалкогольний зб сильногазований,juiced lemonade peach безалкогольний зб,0.378202
exotic безалкогольний зб сильногазований,mix безалкогольний зб сильногазований,0.403403
exotic безалкогольний зб сильногазований,unicorn безалкогольний зб сильногазований,0.337308
exotic безалкогольний зб сильногазований,cola taste безалкогольний зб сильногазований,0.323808
exotic безалкогольний зб сильногазований,juiced lemonade peach безалкогольний зб,0.327710
apple juiced sour безалкогольний зб,juiced lemonade peach безалкогольний зб,0.337471
apple juiced sour безалкогольний зб,mix безалкогольний зб сильногазований,0.307107
apple juiced sour безалкогольний зб,unicorn безалкогольний зб сильногазований,0.476243
apple juiced sour безалкогольний зб,cola taste безалкогольний зб сильногазований,0.444082
безалкогольний воля зб середньогазований,безалкогольний воля зб ківіполуниця,0.381372
воля зб мікс ягідний,безалкогольний воля зб ківіполуниця,0.396000
воля зб мікс ягідний,безалкогольний воля зб середньогазований,0.387000
green stalker безалкогольний зб сильногазований,безалкогольний еволюшн сильногазований фреш,0.396674
boost безалкогольний зб сильногазований,безалкогольний еволюшн сильногазований фреш,0.356751
boost безалкогольний зб сильногазований,green stalker безалкогольний зб сильногазований,0.462422
безалкогольний сильногазований,безалкогольний еволюшн сильногазований фреш,0.453603
безалкогольний сильногазований,green stalker безалкогольний зб сильногазований,0.370012
безалкогольний сильногазований,boost безалкогольний зб сильногазований,0.307186
evolution fresh jungle безалкогольний зб,boost безалкогольний зб сильногазований,0.403782
безалкогольний зі смаком тропічних фруктів,безалкогольний,0.356438
безалкогольний зб,sugar zero безалкогольний зб,0.410197
coconut mango безалкогольний зб,sugar zero безалкогольний зб,0.481566
coconut mango безалкогольний зб,безалкогольний зб,0.365994
cactus kiwi безалкогольний зб,sugar zero безалкогольний зб,0.455046
cactus kiwi безалкогольний зб,безалкогольний зб,0.456452
cactus kiwi безалкогольний зб,coconut mango безалкогольний зб,0.466307
безалкогольний зб сильногазований,exotic безалкогольний зб сильногазований,0.395385
loco mango енергетичний жб напій,ultra енергетичний жб напій,0.350062
energy енергетичний жб напій,ultra енергетичний жб напій,0.455522
energy енергетичний жб напій,loco mango енергетичний жб напій,0.466486
cactus dog wild безалкогольний енергетичний напій пет,dog wild безалкогольний енергетичний напій пет,0.370853
boost безалкогольний енергетичний жб напій сильногазований,boost безалкогольний зб сильногазований,0.358150
boost безалкогольний енергетичний жб напій сильногазований,evolution fresh jungle безалкогольний зб,0.342000
безалкогольний енергетичний напій сильногазований,безалкогольний еволюшн сильногазований фреш,0.351701
безалкогольний енергетичний напій сильногазований,green stalker безалкогольний зб сильногазований,0.400740
безалкогольний енергетичний напій сильногазований,boost безалкогольний зб сильногазований,0.386268
безалкогольний енергетичний напій сильногазований,безалкогольний сильногазований,0.452966
zoom безалкогольний енергетичний жб напій сильногазований,безалкогольний енергетичний напій сильногазований,0.382891
zoom безалкогольний енергетичний жб напій сильногазований,безалкогольний еволюшн сильногазований фреш,0.362478
zoom безалкогольний енергетичний жб напій сильногазований,green stalker безалкогольний зб сильногазований,0.486635
zoom безалкогольний енергетичний жб напій сильногазований,boost безалкогольний зб сильногазований,0.318657
jungle безалкогольний енергетичний напій сильногазований,безалкогольний енергетичний напій сильногазований,0.441595
jungle безалкогольний енергетичний напій сильногазований,zoom безалкогольний енергетичний жб напій сильногазований,0.359439
jungle безалкогольний енергетичний напій сильногазований,безалкогольний еволюшн сильногазований фреш,0.430337
jungle безалкогольний енергетичний напій сильногазований,green stalker безалкогольний зб сильногазований,0.321492
безалкогольний енергетичний напій сильногазований,boost безалкогольний енергетичний жб напій сильногазований,0.421830
безалкогольний енергетичний напій сильногазований,evolution fresh jungle безалкогольний зб,0.315000
eнepгeтичний juiced lemonade peach бeзaлкoгoльний гaзoвaний жб напій,juiced lemonade peach безалкогольний зб,0.483064
eнepгeтичний juiced lemonade peach бeзaлкoгoльний гaзoвaний жб напій,apple juiced sour безалкогольний зб,0.414000
apple eнepгeтичний juiced sour бeзaлкoгoльний гaзoвaний жб напій,eнepгeтичний juiced lemonade peach бeзaлкoгoльний гaзoвaний жб напій,0.424857
apple eнepгeтичний juiced sour бeзaлкoгoльний гaзoвaний жб напій,apple juiced sour безалкогольний зб,0.340805
apple eнepгeтичний juiced sour бeзaлкoгoльний гaзoвaний жб напій,juiced lemonade peach безалкогольний зб,0.369000
eнepгeтичний жб зі нaпій смаком яблукоківі,безалкогольний енергетичний жб напій сильногазований,0.446796
eнepгeтичний maracuja spritz бeзaлкoгoльний гaзoвaний жб нaпій,eнepгeтичний sparkler бeзaлкoгoльний винограду гaзoвaний жб зі нaпій смаком,0.423458
classic plus безалкогольний газований енергетичний напій,eнepгeтичний sparkler бeзaлкoгoльний винограду гaзoвaний жб зі нaпій смаком,0.432000
classic plus безалкогольний газований енергетичний напій,eнepгeтичний maracuja spritz бeзaлкoгoльний гaзoвaний жб нaпій,0.364526
classic plus безалкогольний газований енергетичний напій,асорті безалкогольний зб зі сильногазований смаком фруктів,0.432000
eнepгeтичний silver нaпій пет,eнepгeтичний power бeзaлкoгoльний жб нaпій,0.411958
безалкогольний виноград енергетичний жб напій сильногазований,energy безаолкогольни виноград зб,0.384599
безалкогольний вишня енергетичний жб напій сильногазований,energy безаолкогольни вишня зб,0.414000
безалкогольний вишня енергетичний жб напій сильногазований,безалкогольний виноград енергетичний жб напій сильногазований,0.360500
black cherry kiwi безалкогольний зб,fruit punch venom безалкогольний зб,0.449073
original безалкогольний зб,fruit punch venom безалкогольний зб,0.378296
original безалкогольний зб,black cherry kiwi безалкогольний зб,0.480050
mango безалкогольний зб,fruit punch venom безалкогольний зб,0.458247
mango безалкогольний зб,black cherry kiwi безалкогольний зб,0.378103
mango безалкогольний зб,original безалкогольний зб,0.436718
original без безалкогольний зб цукру,original безалкогольний зб,0.309711
original без безалкогольний зб цукру,fruit punch venom безалкогольний зб,0.423654
original без безалкогольний зб цукру,black cherry kiwi безалкогольний зб,0.478164
original без безалкогольний зб цукру,mango безалкогольний зб,0.425368
watermelonstrawberry безалкогольний газований зб,mango безалкогольний газований зб,0.379199
безалкогольний зб кавунполуниця,безалкогольний зб манго,0.302299
cherry wild безалкогольний газований зб,mango безалкогольний газований зб,0.313708
cherry wild безалкогольний газований зб,watermelonstrawberry безалкогольний газований зб,0.466675
black punch wild безалкогольний зб,безалкогольний зб манго,0.310095
black punch wild безалкогольний зб,безалкогольний зб кавунполуниця,0.329327
energy original безаолкогольни зб,energy безаолкогольни вишня зб,0.372079
energy original безаолкогольни зб,energy безаолкогольни виноград зб,0.406994
mojito безалкогольний газований зб,original безалкогольний газований зб,0.437398
sugar zero безалкогольний газований зб,original безалкогольний газований зб,0.478229
sugar zero безалкогольний газований зб,mojito безалкогольний газований зб,0.447185
sex безалкогольний газований зб,original безалкогольний газований зб,0.304083
sex безалкогольний газований зб,mojito безалкогольний газований зб,0.405772
sex безалкогольний газований зб,sugar zero безалкогольний газований зб,0.417889
after alcohol безалкогольний зб,original безалкогольний газований зб,0.480736
after alcohol безалкогольний зб,mojito безалкогольний газований зб,0.454596
after alcohol безалкогольний зб,sugar zero безалкогольний газований зб,0.398466
after alcohol безалкогольний зб,sex безалкогольний газований зб,0.426642
безалкогольний воля журавлина зб,безалкогольний воля зб ківіполуниця,0.327677
безалкогольний воля журавлина зб,безалкогольний воля зб середньогазований,0.344685
безалкогольний воля журавлина зб,воля зб мікс ягідний,0.243000
безалкогольний воля зб мангоапельсин,безалкогольний воля зб ківіполуниця,0.474972
безалкогольний воля зб мангоапельсин,безалкогольний воля зб середньогазований,0.380062
безалкогольний воля зб мангоапельсин,безалкогольний воля журавлина зб,0.369033
безалкогольний воля зб мангоапельсин,воля зб мікс ягідний,0.351000
strawberrybanana безалкогольний газований зб,black cherry безалкогольний газований зб,0.301574
strawberrybanana безалкогольний газований зб,berry goji безалкогольний газований зб,0.458780
peachlemon безалкогольний газований зб,black cherry безалкогольний газований зб,0.327557
peachlemon безалкогольний газований зб,berry goji безалкогольний газований зб,0.309351
peachlemon безалкогольний газований зб,strawberrybanana безалкогольний газований зб,0.389409
apple green безалкогольний газований зб,black cherry безалкогольний газований зб,0.407970
apple green безалкогольний газований зб,berry goji безалкогольний газований зб,0.393980
apple green безалкогольний газований зб,strawberrybanana безалкогольний газований зб,0.369094
apple green безалкогольний газований зб,peachlemon безалкогольний газований зб,0.345331
strong watermelon безалкогольний зб,асорті безалкогольний зб зі сильногазований смаком фруктів,0.351000
strong watermelon безалкогольний зб,classic plus безалкогольний газований енергетичний напій,0.369000
multi безалкогольний газований зб,classic plus безалкогольний газований енергетичний напій,0.309919
multi безалкогольний газований зб,асорті безалкогольний зб зі сильногазований смаком фруктів,0.316839
multi безалкогольний газований зб,strong watermelon безалкогольний зб,0.347637
grapefruit groovy безалкогольний зб,асорті безалкогольний зб зі сильногазований смаком фруктів,0.351000
grapefruit groovy безалкогольний зб,classic plus безалкогольний газований енергетичний напій,0.369000
grapefruit groovy безалкогольний зб,strong watermelon безалкогольний зб,0.442234
grapefruit groovy безалкогольний зб,multi безалкогольний газований зб,0.326060
безалкогольний газований яблуко,classic plus безалкогольний газований енергетичний напій,0.405650
безалкогольний газований яблуко,multi безалкогольний газований зб,0.449288
безалкогольний газований яблуко,асорті безалкогольний зб зі сильногазований смаком фруктів,0.307599
безалкогольний газований яблуко,strong watermelon безалкогольний зб,0.400053
focus безалкогольний газований зб,classic plus безалкогольний газований енергетичний напій,0.440039
focus безалкогольний газований зб,multi безалкогольний газований зб,0.430349
focus безалкогольний газований зб,безалкогольний газований яблуко,0.348376
focus безалкогольний газований зб,асорті безалкогольний зб зі сильногазований смаком фруктів,0.304940
chillin guanabanamango безалкогольний газований,classic plus безалкогольний газований енергетичний напій,0.370613
chillin guanabanamango безалкогольний газований,multi безалкогольний газований зб,0.487376
chillin guanabanamango безалкогольний газований,безалкогольний газований яблуко,0.407572
chillin guanabanamango безалкогольний газований,focus безалкогольний газований зб,0.341059
pvp безалкогольний газований зб,classic plus безалкогольний газований енергетичний напій,0.370107
pvp безалкогольний газований зб,multi безалкогольний газований зб,0.402606
pvp безалкогольний газований зб,безалкогольний газований яблуко,0.384215
pvp безалкогольний газований зб,focus безалкогольний газований зб,0.305537
nova безалкогольний газований зб,classic plus безалкогольний газований енергетичний напій,0.448582
nova безалкогольний газований зб,multi безалкогольний газований зб,0.479772
nova безалкогольний газований зб,безалкогольний газований яблуко,0.439555
nova безалкогольний газований зб,focus безалкогольний газований зб,0.302303
ai безалкогольний газований зб,classic plus безалкогольний газований енергетичний напій,0.365826
ai безалкогольний газований зб,multi безалкогольний газований зб,0.349603
ai безалкогольний газований зб,безалкогольний газований яблуко,0.309942
ai безалкогольний газований зб,focus безалкогольний газований зб,0.373210
original безалкогольний,безалкогольний енергетичний жб напій сильногазований,0.333000
dark безалкогольний еnergy зб,безалкогольний енергетичний жб напій сильногазований,0.387000
dark безалкогольний еnergy зб,original безалкогольний,0.352610
apple kiwi безалкогольний,безалкогольний енергетичний жб напій сильногазований,0.324000
apple kiwi безалкогольний,original безалкогольний,0.341179
apple kiwi безалкогольний,dark безалкогольний еnergy зб,0.454593
guava безалкогольний зб,безалкогольний енергетичний жб напій сильногазований,0.369000
guava безалкогольний зб,original безалкогольний,0.317045
guava безалкогольний зб,dark безалкогольний еnergy зб,0.306870
guava безалкогольний зб,apple kiwi безалкогольний,0.337072
безалкогольний манго,безалкогольний енергетичний жб напій сильногазований,0.400629
безалкогольний манго,original безалкогольний,0.450881
безалкогольний манго,dark безалкогольний еnergy зб,0.473418
безалкогольний манго,apple kiwi безалкогольний,0.407787
fruit punch безалкогольний зб,безалкогольний енергетичний жб напій сильногазований,0.351000
fruit punch безалкогольний зб,original безалкогольний,0.382789
fruit punch безалкогольний зб,dark безалкогольний еnergy зб,0.411957
fruit punch безалкогольний зб,apple kiwi безалкогольний,0.302463
fire orange безалкогольний зб сильногазований,безалкогольний енергетичний жб напій сильногазований,0.316363
fire orange безалкогольний зб сильногазований,original безалкогольний,0.383382
fire orange безалкогольний зб сильногазований,dark безалкогольний еnergy зб,0.484763
fire orange безалкогольний зб сильногазований,apple kiwi безалкогольний,0.441000
без безалкогольний цукру,безалкогольний,0.313434
без безалкогольний цукру,безалкогольний зі смаком тропічних фруктів,0.397423
