text1, text2,  similarity
безалкогольний зб сильногазований,cola taste безалкогольний зб сильногазований,0.422989
frsh безалкогольний зб сильногазований,mix безалкогольний зб сильногазований,0.373900
frsh безалкогольний зб сильногазований,unicorn безалкогольний зб сильногазований,0.483492
frsh безалкогольний зб сильногазований,cola taste безалкогольний зб сильногазований,0.432846
frsh безалкогольний зб сильногазований,exotic безалкогольний зб сильногазований,0.403179
безалкогольний зб сильногазований,frsh безалкогольний зб сильногазований,0.373982
cosm energy nitro peach безалкогольний газований,energy енергетичний жб напій,0.360000
brew killer loca moca газований зб,bean brew killer mean газований зб,0.386864
classic безалкогольний газований,classic max безалкогольний газований,0.310206
mango max безалкогольний газований,classic max безалкогольний газований,0.346556
mango max безалкогольний газований,classic безалкогольний газований,0.448445
classic zero безалкогольний газований,classic max безалкогольний газований,0.337857
classic zero безалкогольний газований,classic безалкогольний газований,0.464724
classic zero безалкогольний газований,mango max безалкогольний газований,0.400256
ultra безалкогольний зб,paradise ultra безалкогольний,0.372246
monster ultrafiesta безалкогольний газований зб,paradise ultra безалкогольний,0.370551
monster ultrafiesta безалкогольний газований зб,ultra безалкогольний зб,0.429027
безалкогольний зб,paradise ultra безалкогольний,0.309732
безалкогольний зб,ultra безалкогольний зб,0.412154
безалкогольний зб,monster ultrafiesta безалкогольний газований зб,0.435280
aussie juice lemonade безалкогольний зб,paradise ultra безалкогольний,0.481432
aussie juice lemonade безалкогольний зб,ultra безалкогольний зб,0.460916
aussie juice lemonade безалкогольний зб,monster ultrafiesta безалкогольний газований зб,0.414860
aussie juice lemonade безалкогольний зб,безалкогольний зб,0.458775
apple bad безалкогольний зб,paradise ultra безалкогольний,0.459972
apple bad безалкогольний зб,ultra безалкогольний зб,0.300870
apple bad безалкогольний зб,monster ultrafiesta безалкогольний газований зб,0.422673
apple bad безалкогольний зб,безалкогольний зб,0.436434
sugar zero безалкогольний зб,paradise ultra безалкогольний,0.405030
sugar zero безалкогольний зб,ultra безалкогольний зб,0.366513
sugar zero безалкогольний зб,monster ultrafiesta безалкогольний газований зб,0.354972
rosa ultra безалкогольний зб,paradise ultra безалкогольний,0.433933
rosa ultra безалкогольний зб,ultra безалкогольний зб,0.328847
rosa ultra безалкогольний зб,monster ultrafiesta безалкогольний газований зб,0.321956
rosa ultra безалкогольний зб,безалкогольний зб,0.443347
doctor the безалкогольний зб,paradise ultra безалкогольний,0.348618
doctor the безалкогольний зб,ultra безалкогольний зб,0.416642
doctor the безалкогольний зб,monster ultrafiesta безалкогольний газований зб,0.408871
doctor the безалкогольний зб,безалкогольний зб,0.442090
nitro безалкогольний газований зб,monster ultrafiesta безалкогольний газований зб,0.302819
nitro безалкогольний газований зб,paradise ultra безалкогольний,0.392623
nitro безалкогольний газований зб,ultra безалкогольний зб,0.381582
nitro безалкогольний газований зб,безалкогольний зб,0.465707
punch rio безалкогольний зб сильногазований,paradise ultra безалкогольний,0.412975
punch rio безалкогольний зб сильногазований,ultra безалкогольний зб,0.408136
punch rio безалкогольний зб сильногазований,monster ultrafiesta безалкогольний газований зб,0.329570
punch rio безалкогольний зб сильногазований,безалкогольний зб,0.324980
khaotic безалкогольний зб,paradise ultra безалкогольний,0.309841
khaotic безалкогольний зб,ultra безалкогольний зб,0.432061
khaotic безалкогольний зб,monster ultrafiesta безалкогольний газований зб,0.466533
khaotic безалкогольний зб,безалкогольний зб,0.387038
mocha безалкогольний зб,french vanilla безалкогольний зб,0.411434
caramel salted безалкогольний зб,french vanilla безалкогольний зб,0.373794
caramel salted безалкогольний зб,mocha безалкогольний зб,0.488101
green mega безалкогольний газований зб,mega ultra zero безалкогольний газований зб,0.310835
locarb mega безалкогольний зб сильногазований,mega ultra zero безалкогольний газований зб,0.466815
locarb mega безалкогольний зб сильногазований,green mega безалкогольний газований зб,0.489525
strawberry безалкогольний зб,paradise ultra безалкогольний,0.373370
strawberry безалкогольний зб,ultra безалкогольний зб,0.357715
strawberry безалкогольний зб,monster ultrafiesta безалкогольний газований зб,0.478026
strawberry безалкогольний зб,безалкогольний зб,0.326162
irish java безалкогольний зб кавововий сreme,french vanilla безалкогольний зб,0.313788
irish java безалкогольний зб кавововий сreme,mocha безалкогольний зб,0.413717
irish java безалкогольний зб кавововий сreme,caramel salted безалкогольний зб,0.458502
mangoloco monster безалкогольний газований зб,monster ultrafiesta безалкогольний газований зб,0.351866
mangoloco monster безалкогольний газований зб,nitro безалкогольний газований зб,0.462699
mangoloco monster безалкогольний газований зб,paradise ultra безалкогольний,0.460292
mangoloco monster безалкогольний газований зб,ultra безалкогольний зб,0.462746
ultra violet безалкогольний,paradise ultra безалкогольний,0.319903
ultra violet безалкогольний,ultra безалкогольний зб,0.450881
ultra violet безалкогольний,rosa ultra безалкогольний зб,0.344735
ultra violet безалкогольний,mangoloco monster безалкогольний газований зб,0.338794
monster pacific punch безалкогольний,monster ultrafiesta безалкогольний газований зб,0.474603
monster pacific punch безалкогольний,mangoloco monster безалкогольний газований зб,0.481029
monster pacific punch безалкогольний,punch rio безалкогольний зб сильногазований,0.373285
monster pacific punch безалкогольний,strawberry безалкогольний зб,0.306882
keen peachy безалкогольний зб,mangoloco monster безалкогольний газований зб,0.457673
keen peachy безалкогольний зб,ultra violet безалкогольний,0.394564
keen peachy безалкогольний зб,monster pacific punch безалкогольний,0.440637
keen peachy безалкогольний зб,paradise ultra безалкогольний,0.352192
pipeline punch безалкогольний зб,punch rio безалкогольний зб сильногазований,0.372808
pipeline punch безалкогольний зб,monster pacific punch безалкогольний,0.406204
pipeline punch безалкогольний зб,strawberry безалкогольний зб,0.391274
pipeline punch безалкогольний зб,mangoloco monster безалкогольний газований зб,0.426939
безалкогольний сильногазований,doctor the безалкогольний сильногазований,0.348272
monarch безалкогольний зб,mangoloco monster безалкогольний газований зб,0.384096
monarch безалкогольний зб,ultra violet безалкогольний,0.358737
monarch безалкогольний зб,monster pacific punch безалкогольний,0.338386
monarch безалкогольний зб,paradise ultra безалкогольний,0.329231
hamilton monster zero безалкогольний зб,monster ultrafiesta безалкогольний газований зб,0.317077
hamilton monster zero безалкогольний зб,mangoloco monster безалкогольний газований зб,0.455064
hamilton monster zero безалкогольний зб,monster pacific punch безалкогольний,0.335399
hamilton monster zero безалкогольний зб,sugar zero безалкогольний зб,0.484715
power безалкогольний сильногазований,безалкогольний сильногазований,0.438743
power безалкогольний зб сильногазований,exotic безалкогольний зб сильногазований,0.426607
power безалкогольний зб сильногазований,безалкогольний зб сильногазований,0.434226
silver безалкогольний зб сильногазований,безалкогольний зб сильногазований,0.328266
silver безалкогольний зб сильногазований,exotic безалкогольний зб сильногазований,0.305978
power безалкогольний зб сильногазований,eнepгeтичний power бeзaлкoгoльний жб нaпій,0.419891
power безалкогольний зб сильногазований,silver безалкогольний зб сильногазований,0.313728
silver безалкогольний сильногазований,безалкогольний сильногазований,0.349014
silver безалкогольний сильногазований,power безалкогольний сильногазований,0.348315
silver безалкогольний сильногазований,exotic безалкогольний зб сильногазований,0.383056
silver безалкогольний сильногазований,безалкогольний зб сильногазований,0.467328
silver безалкогольний сильногазований,power безалкогольний зб сильногазований,0.401775
power безалкогольний сильногазований,power безалкогольний зб сильногазований,0.313597
power безалкогольний сильногазований,exotic безалкогольний зб сильногазований,0.452042
power безалкогольний сильногазований,безалкогольний зб сильногазований,0.326982
безалкогольний сильногазований,exotic безалкогольний зб сильногазований,0.331968
безалкогольний сильногазований,безалкогольний зб сильногазований,0.380682
безалкогольний сильногазований,power безалкогольний зб сильногазований,0.413456
безалкогольний зб сильногазований х,безалкогольний зб сильногазований,0.426863
безалкогольний зб сильногазований х,exotic безалкогольний зб сильногазований,0.432547
безалкогольний зб сильногазований х,silver безалкогольний зб сильногазований,0.395004
безалкогольний зб сильногазований х,power безалкогольний зб сильногазований,0.389241

нeктap пет тoмaтний,напій пет соковий яблуковишня,0.03
нeктap пет тoмaтний,виноградгранат напій пет соковий,0.3
апельсин напій пет соковий,напій пет соковий яблуковишня,0.2
апельсин напій пет соковий,виноградгранат напій пет соковий,0.1
апельсин напій пет соковий,ананасу вибір напій пет розумнирй смак соковмісний,0.2
апельсин напій пет соковий,нeктap пет тoмaтний,0
fitness апельсиновогрейпфрутовий екстрактом з листя нектар стевії,select гранат нектар тетрапак,0.05
select бaнaнпoлуниця нектap,select гранат нектар тетрапак,0.3
вишня нектар,select гранат нектар тетрапак,0.1
вишня нектар,fitness апельсиновогрейпфрутовий екстрактом з листя нектар стевії,0
сік тетpaпaк яблуко,select гранат нектар тетрапак,0
сік тетpaпaк яблуко,fitness апельсиновогрейпфрутовий екстрактом з листя нектар стевії,0
сік тетpaпaк яблуко,вишня нектар,0
апельсин нектap тетpaпaк,сік тетpaпaк яблуко,0
апельсин нектap тетpaпaк,select бaнaнпoлуниця нектap,0.1
апельсин нектap тетpaпaк,select гранат нектар тетрапак,0.1
апельсин нектap тетpaпaк,fitness апельсиновогрейпфрутовий екстрактом з листя нектар стевії,0.1
екстpaктoм з з листя мaнгo нектap плoдiв стевiї,select бaнaнпoлуниця нектap,0.15
екстpaктoм з з листя мaнгo нектap плoдiв стевiї,fitness апельсиновогрейпфрутовий екстрактом з листя нектар стевії,0.2
екстpaктoм з з листя мaнгo нектap плoдiв стевiї,апельсин нектap тетpaпaк,0.1
ананас нектар,select бaнaнпoлуниця нектap,0.1
ананас нектар,екстpaктoм з з листя мaнгo нектap плoдiв стевiї,0.107000
ананас нектар,select гранат нектар тетрапак,0.1
ананас нектар,fitness апельсиновогрейпфрутовий екстрактом з листя нектар стевії,0.106000
мультифруктовий нектар тетрапак тропічні фрукти,select гранат нектар тетрапак,0.1
мультифруктовий нектар тетрапак тропічні фрукти,fitness апельсиновогрейпфрутовий екстрактом з листя нектар стевії,0.05
мультифруктовий нектар тетрапак тропічні фрукти,вишня нектар,0.1
мультифруктовий нектар тетрапак тропічні фрукти,сік тетpaпaк яблуко,0
мультивітамін нектар,апельсин напій сицилійський соковий червоний,0
лимон нектар,мультивітамін нектар,0.2
лимон нектар,апельсин напій сицилійський соковий червоний,0
гранат нектар,мультивітамін нектар,0.2
гранат нектар,лимон нектар,0.2
гранат нектар,апельсин напій сицилійський соковий червоний,0
банановий нектар,мультивітамін нектар,0.2
банановий нектар,лимон нектар,0.2
банановий нектар,гранат нектар,0.2
банановий нектар,апельсин напій сицилійський соковий червоний,0
ананас нектар,мультивітамін нектар,0.2
ананас нектар,лимон нектар,0.2
ананас нектар,гранат нектар,0.2
ананас нектар,банановий нектар,0.2
з сік сіллю тетрапак томатний,банановояблучнополуничний нeктap,0
сік яблуко,ананас нектар,0
сік яблуко,апельсин напій сицилійський соковий червоний,0.1
сік яблуко,мультивітамін нектар,0
сік яблуко,лимон нектар,0
апельсин сік,апельсин напій сицилійський соковий червоний,0.277633
апельсин сік,сік яблуко,0.206003
апельсин сік,банановий нектар,0
апельсин сік,ананас нектар,0
вишня нектар,мультивітамін нектар,0.208987
вишня нектар,лимон нектар,0.203223
вишня нектар,гранат нектар,0.203157
вишня нектар,банановий нектар,0.203179
з пікантний сік сіллю тeтpaпaк тoмaтний,з сік сіллю тeтpaпaк томатний,0.357424
з пікантний сік сіллю тeтpaпaк тoмaтний,банановояблучнополуничний нeктap,0
з пікантний сік сіллю тeтpaпaк тoмaтний,сік яблуко,0.033000
винограду нектар тетрапак червоного із,з сік сіллю тетрапак томатний,0.098914
винограду нектар тетрапак червоного із,банановояблучнополуничний нектар тетрапак,0.120856
винограду нектар тетрапак червоного із,банановояблучнополуничний нeктap,0.106000
винограду нектар тетрапак червоного із,з пікантний сік сіллю тeтpaпaк тoмaтний,0.124000
нектар яблуковиноград,апельсиновий нектар окздх тетрапак,0.141000
з мякоттю нaш окздх сік сік тeтpaпaк яблучноперсиковий,апельсиновий нектар окздх тетрапак,0.169000
з мякоттю нaш окздх сік сік тeтpaпaк яблучноперсиковий,нектар яблуковиноград,0.187000
нектар окздх яблуко,окздх сік томат,0.174229
гранат нектар окздх,нектар окздх яблуко,0.137207
гранат нектар окздх,окздх сік томат,0.136000
мультифруктовий нектар окздх,окздх сік томат,0.142000
мультифруктовий нектар окздх,нектар окздх яблуко,0.149529
мультифруктовий нектар окздх,гранат нектар окздх,0.152384
виноградяблуко нектар та яблуковиноград,мультифруктовий нектар окздх,0.13290
виноградяблуко нектар та яблуковиноград,окздх сік томат,0.129000
виноградяблуко нектар та яблуковиноград,нектар окздх яблуко,0.111884
виноградяблуко нектар та яблуковиноград,гранат нектар окздх,0.114511
мультифруктовий нектар неосвітлений окздх пастеризований,нектар окздх яблуко,0.105000
мультивітамін окздх сік тетрапак,нектар окздх яблуко,0.132000
мультивітамін окздх сік тетрапак,мультифруктовий нектар неосвітлений окздх пастеризований,0.05
вишневий нектар окздх,нектар окздх яблуко,0.233299
вишневий нектар окздх,мультифруктовий нектар неосвітлений окздх пастеризований,0.183977
вишневий нектар окздх,мультивітамін окздх сік тетрапак,0.04
окздх сік яблучноморквяний,з мякоттю нaш окздх сік сік тeтpaпaк яблучноперсиковий,0.135606
окздх сік яблучноморквяний,апельсиновий нектар окздх тетрапак,0.169000
окздх сік яблучноморквяний,нектар яблуковиноград,0.04
нектар яблуковиноград,мультивітамін окздх сік тетрапак,0.233000
нектар яблуковиноград,нектар окздх яблуко,0.220860
нектар яблуковиноград,мультифруктовий нектар неосвітлений окздх пастеризований,0.287000
нектар яблуковиноград,вишневий нектар окздх,0.230199
мультифруктовий нектар окздх серія тропічна,апельсиновий нектар окздх тетрапак,0.228172
мультифруктовий нектар окздх серія тропічна,з мякоттю нaш окздх сік сік тeтpaпaк яблучноперсиковий,0.238000
мультифруктовий нектар окздх серія тропічна,окздх сік яблучноморквяний,0.240000
мультифруктовий нектар окздх серія тропічна,нектар яблуковиноград,0.238000
лимон лимонад,лимонад тархун,0.236609
кремсода лимонад,лимонад тархун,0.223000
кремсода лимонад,лимон лимонад,0.219219
груша лимонад,лимонад тархун,0.265883
груша лимонад,лимон лимонад,0.233757
груша лимонад,кремсода лимонад,0.232975
limonati груша зб сильногазований,limonati зб сильногазований тархун,0.222999
limonati аджарський зб мандарин сильногазований,limonati зб сильногазований тархун,0.245486
limonati аджарський зб мандарин сильногазований,limonati груша зб сильногазований,0.249954
limonati сильногазований скло цитрус,limonati аджарський мандарин сильногазований скло,0.252089
limonati груша сильногазований скло,limonati аджарський мандарин сильногазований скло,0.217907
limonati груша сильногазований скло,limonati сильногазований скло цитрус,0.237779
limonati сильногазований скло тархун,limonati аджарський мандарин сильногазований скло,0.203039
limonati сильногазований скло тархун,limonati сильногазований скло цитрус,0.264844
limonati сильногазований скло тархун,limonati груша сильногазований скло,0.295117
з негазований соком яблука,гaзoвaний з нaпій пет соком яблука,0.454915
соком яблука із,гaзoвaний з нaпій пет соком яблука,0.93000
соком яблука із,з негазований соком яблука,0.436565
груші зі сильногазований смаком соковмісний,з сильногазований соковий соком яблука,0.230759
зб лимонада соковмісний яблуко,апельсинперсик зб лимонада соковмісний,0.215149
зб лимонада мохіто соковмісний,апельсинперсик зб лимонада соковмісний,0.258845
зб лимонада мохіто соковмісний,зб лимонада соковмісний яблуко,0.358891
cилгаз лимонад соковмісний,cилгаз соковмісний тархун,0.327121
cилг мультифрукт соковмісний,cилгаз соковмісний тархун,0.306527
cилг мультифрукт соковмісний,cилгаз лимонад соковмісний,0.341042
мяталайм сильногазований соковмісний,беалкогольний пайнепсильногазований соковмісний твіст,0.221057
сильногазований чінотто,мяталайм сильногазований соковмісний,0.253266
zero,zero безалкoгoльний сильнoгазoваний,0.96
cola пет,cola зб,0.505
пет,пет сильногазований,0.95
cola пет,black пет сильногазований,0.270000
cola зі манго нуль смаком цукру,cola,0.277000
cola нуль пет цукру,cola пет,0.335762
cola нуль пет цукру,cola зб,0.292000
cola нуль пет цукру,пет сильногазований,0.339000
cola нуль пет цукру,black пет сильногазований,0.150000
indian tonic соковмісний,classic mojito соковмісний,0.220387
tangerine зб сильногазований соковмісний,classic mojito соковмісний,0.205000
tangerine зб сильногазований соковмісний,indian tonic соковмісний,0.147528
tangerine зб сильногазований соковмісний,гранат зб сильногазований,0.210534
нектар освітлений яблучновиноградний,нектар окздх яблуко,0.214000
нектар освітлений яблучновиноградний,гранат нектар окздх,0.220000
нектар освітлений яблучновиноградний,мультифруктовий нектар окздх,0.221000
нектар освітлений яблучновиноградний,виноградяблуко нектар та яблуковиноград,0.298640
нектар освітлений яблучновиноградний,мультифруктовий нектар неосвітлений окздх пастеризований,0.239856
нектар освітлений яблучновиноградний,вишневий нектар окздх,0.261000
нектар освітлений яблучновиноградний,нектар яблуковиноград,0.24098
нектар освітлений яблучновиноградний,апельсиновий нектар окздх тетрапак,0.219000
нектар освітлений яблучновиноградний,мультифруктовий нектар окздх серія тропічна,0.227000
мультифруктовий нектар,мультифруктовий нектар окздх,0.9810150
мультифруктовий нектар,нектар окздх яблуко,0.236000
мультифруктовий нектар,гранат нектар окздх,0.22000
мультифруктовий нектар,виноградяблуко нектар та яблуковиноград,0.251000
мультифруктовий нектар,мультифруктовий нектар окздх серія тропічна,0.60
мультифруктовий нектар,апельсиновий нектар окздх тетрапак,0.296000
мультифруктовий нектар,нектар яблуковиноград,0.296000
мультифруктовий нектар,нектар освітлений яблучновиноградний,0.279000
мультифруктовий нектар,мультифруктовий нектар неосвітлений окздх пастеризований,0.95
мультифруктовий нектар,вишневий нектар окздх,0.25120
нектар яблучний,мультифруктовий нектар,0.208000
нектар яблучний,нектар яблуко,0.99
нектар яблучний,мультифруктовий нектар неосвітлений окздх пастеризований,0.261000
нектар яблучний,вишневий нектар окздх,0.206000
апельсиновий нектар,апельсиновий нектар окздх тетрапак,0.963132
апельсиновий нектар,нектар яблуковиноград,0.206000
апельсиновий нектар,мультифруктовий нектар окздх серія тропічна,0.228000
апельсиновий нектар,нектар освітлений яблучновиноградний,0.217000
вишневий нектар,мультифруктовий нектар,0.249986
вишневий нектар,нектар окздх яблуко,0.215000
вишневий нектар,гранат нектар окздх,0.220000
вишневий нектар,мультифруктовий нектар окздх,0.214000
мультивітамін нектар,мультивітамін нектар, 1.0
вишневий нектар,вишня нектар,0.98
вишневий нектар,мультивітамін нектар,0.207987
вишневий нектар,лимон нектар,0.209712
гранатовий нектар,вишня нектар,0.22529
гранатовий нектар,мультивітамін нектар,0.241000
гранатовий нектар,вишневий нектар,0.224856
caribs sunny банановоананасовококосовий нектар неосвітлений,вишня нектар,0.234000
caribs sunny банановоананасовококосовий нектар неосвітлений,мультивітамін нектар,0.225000
caribs sunny банановоананасовококосовий нектар неосвітлений,вишневий нектар,0.228000
caribs sunny банановоананасовококосовий нектар неосвітлений,гранатовий нектар,0.233000
грейпфрут коктейльна колекція нектар неосвітлений,caribs sunny банановоананасовококосовий нектар неосвітлений,0.223212
грейпфрут коктейльна колекція нектар неосвітлений,гранатовий нектар,0.224000
грейпфрут коктейльна колекція нектар неосвітлений,мультивітамін нектар,0.288000
грейпфрут коктейльна колекція нектар неосвітлений,лимон нектар,0.270000
нектар яблучновиноградний,мультифруктовий нектар,0.206000
нектар яблучновиноградний,ананасовояблучний нектар садoчoк,0.269000
нектар яблучновиноградний,нектар яблучновишневий,0.25863
нектар яблучновиноградний,нектар тетрапак яблучногранатовий,0.232089
нектар яблучновиноградний,нектар яблуковиноград,0.977029
нектар освітлений яблуковиноград,нектар яблуковиноград,0.302570
апельсиновояблучний нектар неосвітлений,ананасовояблучний нектар садoчoк,0.266188
апельсиновояблучний нектар неосвітлений,нектар яблучновишневий,0.205000
апельсиновояблучний нектар неосвітлений,нектар тетрапак яблучногранатовий,0.142000
апельсиновояблучний нектар неосвітлений,нектар яблуковиноград,0.233000
ананасовояблучний нектар неосвітлений,ананасовояблучний нектар садoчoк,0.952043
ананасовояблучний нектар неосвітлений,апельсиновояблучний нектар неосвітлений,0.2796
ананасовояблучний нектар неосвітлений,нектар яблучновиноградний,0.205000
ананасовояблучний нектар неосвітлений,нектар яблучновишневий,0.214000
апельсиновий нектар,select гранат нектар тетрапак,0.197000
апельсиновий нектар,fitness апельсиновогрейпфрутовий екстрактом з листя нектар стевії,0.178000
апельсиновий нектар,вишня нектар,0.241000
апельсиновий нектар,ананас нектар,0.241000
мультифруктовий нектар тропічні фрукти,select гранат нектар тетрапак,0.142000
мультифруктовий нектар тропічні фрукти,fitness апельсиновогрейпфрутовий екстрактом з листя нектар стевії,0.151000
мультифруктовий нектар тропічні фрукти,вишня нектар,0.288000
мультифруктовий нектар тропічні фрукти,ананас нектар,0.261000
апельсиновогрейпфрутовий нектар,fitness апельсиновогрейпфрутовий екстрактом з листя нектар стевії,0.410780
апельсиновогрейпфрутовий нектар,select гранат нектар тетрапак,0.170000
апельсиновогрейпфрутовий нектар,вишня нектар,0.233000
апельсиновогрейпфрутовий нектар,ананас нектар,0.233000
вишневий нектар,апельсиновий нектар,0.212889
вишневий нектар,мультифруктовий нектар тропічні фрукти,0.178000
вишневий нектар,апельсиновогрейпфрутовий нектар,0.244604
вишневий нектар,select гранат нектар тетрапак,0.20
гранатовий нектар,select гранат нектар тетрапак,0.371491
гранатовий нектар,fitness апельсиновогрейпфрутовий екстрактом з листя нектар стевії,0.188000
гранатовий нектар,ананас нектар,0.206047
банановополуничний нектар,select гранат нектар тетрапак,0.333000
банановополуничний нектар,fitness апельсиновогрейпфрутовий екстрактом з листя нектар стевії,0.197000
банановополуничний нектар,вишня нектар,0.223000
банановополуничний нектар,ананас нектар,0.227076
мультифруктовий сік,віджиму прямого сік яблучний,0.315000
мультифруктовий сік,з мультифрукт мякоттю сік,0.451913
мультифруктовий сік,додаванням з морської солі стерилізований сік томатний,0.288000
мультифруктовий сік,пастеризований сік яблучногрушевий,0.351000
неосвітлений сік яблучногрушевий,неосвітлений пастеризований сік яблучний,0.381871
неосвітлений сік яблучногрушевий,з мультифрукт мякоттю сік,0.171000
неосвітлений сік яблучний,неосвітлений пастеризований сік яблучний,0.953692
неосвітлений сік яблучний,неосвітлений сік яблучногрушевий,0.306049
неосвітлений сік яблучний,з мультифрукт мякоттю сік,0.189000
віджиму прямого сік яблучний,віджиму прямого сік яблучний,1
мікс сік ягідний,віджиму прямого сік яблучний,0.278000
мікс сік ягідний,з мультифрукт мякоттю сік,0.243000
мікс сік ягідний,додаванням з морської солі стерилізований сік томатний,0.270000
мікс сік ягідний,пастеризований сік яблучногрушевий,0.333000
віджиму прямого сік яблучногрушевий,віджиму прямого сік яблучний,0.368820
віджиму прямого сік яблучногрушевий,пастеризований сік яблучногрушевий,0.944885
віджиму прямого сік яблучногрушевий,з мультифрукт мякоттю сік,0.252000
з мякоттю сік томатний,сaдoчoк сік яблучномалиновосуничний імуніті,0.233000
з мякоттю сік томатний,з сік сіллю томат,0.303969
з мякоттю сік томатний,персиковояблучний сік тетрапак,0.306000
з мякоттю персикяблуко сік,з мякоттю сік томатний,0.304729
з мякоттю персикяблуко сік,сaдoчoк сік яблучномалиновосуничний імуніті,0.188000
з мякоттю персикяблуко сік,з сік сіллю томат,0.161000
з мякоттю персикяблуко сік,персиковояблучний сік тетрапак,0.484431
мультивітамін сік,сaдoчoк сік яблучномалиновосуничний імуніті,0.216000
мультивітамін сік,з сік сіллю томат,0.234000
мультивітамін сік,персиковояблучний сік тетрапак,0.270000
мультивітамін сік,з мякоттю сік томатний,0.224000
з мультивітамінний мякоттю сік,з мякоттю нaш окздх сік сік тeтpaпaк яблучноперсиковий,0.315000
з мультивітамінний мякоттю сік,окздх сік яблучноморквяний,0.261000
освітлений сік яблучний,нектар освітлений яблучновиноградний,0.353489
освітлений сік яблучний,з мякоттю нaш окздх сік сік тeтpaпaк яблучноперсиковий,0.242000
освітлений сік яблучний,окздх сік яблучноморквяний,0.22740
освітлений сік яблучний,з мультивітамінний мякоттю сік,0.242000
з мякоттю сік томатний,мультивітамін окздх сік тетрапак,0.233000
з мякоттю сік яблучноперсиковий,окздх сік томат,0.279000
з мякоттю сік яблучноперсиковий,з мякоттю нaш окздх сік сік тeтpaпaк яблучноперсиковий,0.96
з мякоттю сік яблучноперсиковий,з мультивітамінний мякоттю сік,0.287000
з мякоттю сік яблучноперсиковий,окздх сік яблучноморквяний,0.273769
з мякоттю сік яблучноперсиковий,освітлений сік яблучний,0.217712
з мякоттю сік томатний,з мякоттю сік яблучноперсиковий,0.217105
з мякоттю сік томатний,окздх сік томат,0.334360
банан малина смузі,дoйпaк пюре смузі тропік фруктове,0.2
банан малина смузі,бананполуниця пюре смузі фруктове,0.2
exclusive морською сік сіллю томатний із,exclusive манговий нектар,0.31000
сік томатний,з сік сіллю тетрапак томатний,0.334408
сік томатний,сік яблуко,0.1
сік томатний,апельсин сік,0.1
апельсиновий сік,з сік сіллю тетрапак томатний,0.116000
апельсиновий сік,сік яблуко,0.188000
апельсиновий сік,апельсин сік,0.98
апельсиновий сік,сік томатний,0.161000
flamin hot з пікантний сік сіллю томатний,з сік сіллю тетрапак томатний,0.418533
flamin hot з пікантний сік сіллю томатний,сік томатний,0.405000
flamin hot з пікантний сік сіллю томатний,апельсиновий сік,0.152000
flamin hot з пікантний сік сіллю томатний,сік яблуко,0.125000
сік томатний,з сік сіллю тeтpaпaк томатний,0.438398
з морською сік сіллю томатний,сік тетpaпaк яблуко,0.279000
zero сильногазований,сильногазований,0.39512
coffee plus карамель,coffee plus сильногазований,0.323000
зб сильногазований,сильногазований,0.95
зб сильногазований,coffee plus сильногазований,0.2
coffee plus,coffee plus сильногазований,0.980000
coffee plus,coffee plus карамель,0.279673
zero сильногазований,vanilla сильногазований,0.241453
сильногазований,vanilla сильногазований,0.175743
cherry сильногазований,vanilla сильногазований,0.270046
cherry сильногазований,zero сильногазований,0.120096
cherry сильногазований,сильногазований,0.221930
cola,cola нуль цукру,0.378000
пепсікола сильногазований,зі лимону нуль сильногазований смаком цукру,0.338825
нуль пепсі сильногазований цукру,зі лимону нуль сильногазований смаком цукру,0.383652
нуль пепсі сильногазований цукру,пепсікола сильногазований,0.458510
cola зі лимон нуль смаком цукру,cola нуль цукру,0.334552
cola зі лимон нуль смаком цукру,cola,0.207000
вишні зі нуль сильногазований смаком цукру,cola нуль цукру,0.351000
вишні зі нуль сильногазований смаком цукру,cola зі лимон нуль смаком цукру,0.341021
вишні зі нуль сильногазований смаком цукру,зі лимону нуль сильногазований смаком цукру,0.373844
вишні зі нуль сильногазований смаком цукру,нуль пепсі сильногазований цукру,0.456393
вишні зі нуль сильногазований смаком цукру,пепсікола сильногазований,0.353047
зі манго нуль сильногазований смаком цукру,зі лимону нуль сильногазований смаком цукру,0.348234
зі манго нуль сильногазований смаком цукру,нуль пепсі сильногазований цукру,0.383235
зі манго нуль сильногазований смаком цукру,вишні зі нуль сильногазований смаком цукру,0.301218
зі манго нуль сильногазований смаком цукру,пепсікола сильногазований,0.371563
вишні зі нуль сильногазований смаком цукру,cola зі манго нуль смаком цукру,0.322315
cola зі лимон нуль смаком цукру,cola зі манго нуль смаком цукру,0.356837
cola нуль цукру,cola зі манго нуль смаком цукру,0.327007
cola зб нуль цукру,cola нуль пет цукру,0.410046
cola зб нуль цукру,cola зб,0.443930
cola зб нуль цукру,cola пет,0.342000
mix tropical газований зб,chill газований зб,0.1
